start,end,dur,peak_energy,peak_zcr,kind,text_density,text_tag
524.5,524.8,0.3,0.1903,0.1407,energy_burst,6,文本弱
528.8,529.3,0.5,0.2866,0.1226,energy_burst,14,文本中
535.0,535.5,0.5,0.2186,0.1457,energy_burst,9,文本中
558.0,558.3,0.3,0.2192,0.2752,strong_anomaly,1,文本弱
558.4,558.8,0.4,0.2164,0.1626,energy_burst,1,文本弱
567.0,567.3,0.3,0.2284,0.1639,energy_burst,7,文本弱
570.9,571.4,0.5,0.2342,0.1914,energy_burst,21,文本中
578.1,578.4,0.3,0.2087,0.2545,strong_anomaly,6,文本弱
581.2,581.5,0.3,0.2229,0.1676,energy_burst,6,文本弱
598.7,599.0,0.3,0.2649,0.132,energy_burst,3,文本弱
612.6,612.9,0.3,0.2192,0.0894,energy_burst,4,文本弱
613.5,613.8,0.3,0.2604,0.1038,energy_burst,2,文本弱
615.3,615.6,0.3,0.21,0.1982,energy_burst,0,文本弱
615.8,616.2,0.4,0.2204,0.1551,energy_burst,4,文本弱
622.2,622.5,0.3,0.1965,0.1176,energy_burst,0,文本弱
626.0,626.7,0.7,0.2597,0.2314,strong_anomaly,8,文本弱
633.2,633.5,0.3,0.2492,0.1276,energy_burst,3,文本弱
634.6,634.9,0.3,0.2466,0.2039,strong_anomaly,6,文本弱
638.8,639.1,0.3,0.226,0.1426,energy_burst,15,文本中
647.1,647.6,0.5,0.1929,0.1082,energy_burst,11,文本中
658.0,658.3,0.3,0.1295,0.2264,strong_anomaly,0,文本弱
660.1,660.4,0.3,0.1273,0.1144,energy_burst,3,文本弱
664.8,665.1,0.3,0.1797,0.1914,energy_burst,12,文本中
668.9,669.2,0.3,0.271,0.1182,energy_burst,6,文本弱
674.5,674.8,0.3,0.2391,0.2233,strong_anomaly,6,文本弱
675.0,675.5,0.5,0.3248,0.1532,energy_burst,6,文本弱
678.9,679.4,0.5,0.1767,0.1957,energy_burst,2,文本弱
679.9,680.2,0.3,0.2438,0.3283,high_freq_burst,6,文本弱
682.7,683.0,0.3,0.1936,0.1595,energy_burst,2,文本弱
694.4,695.3,0.9,0.2979,0.1676,energy_burst,4,文本弱
696.8,697.1,0.3,0.284,0.1357,energy_burst,7,文本弱
699.4,699.8,0.4,0.2434,0.1576,energy_burst,8,文本弱
714.8,715.7,0.9,0.2663,0.1951,energy_burst,12,文本中
718.9,719.2,0.3,0.3143,0.1388,energy_burst,8,文本弱
724.5,725.2,0.7,0.2285,0.2727,strong_anomaly,10,文本中
728.5,728.9,0.4,0.1829,0.1939,energy_burst,2,文本弱
734.3,735.2,0.9,0.2435,0.2389,strong_anomaly,14,文本中
738.2,738.6,0.4,0.2863,0.2639,strong_anomaly,6,文本弱
738.7,739.0,0.3,0.2766,0.1488,energy_burst,6,文本弱
740.8,741.7,0.9,0.2266,0.252,strong_anomaly,7,文本弱
744.3,744.7,0.4,0.2202,0.1751,energy_burst,11,文本中
753.9,754.3,0.4,0.2819,0.1882,energy_burst,5,文本弱
758.4,758.7,0.3,0.1645,0.1307,energy_burst,5,文本弱
759.2,759.5,0.3,0.2146,0.1313,energy_burst,3,文本弱
770.6,771.0,0.4,0.1918,0.1664,energy_burst,2,文本弱
773.8,774.3,0.5,0.2772,0.2026,strong_anomaly,14,文本中
776.6,776.9,0.3,0.2427,0.1363,energy_burst,6,文本弱
784.4,784.7,0.3,0.2755,0.1388,energy_burst,8,文本弱
785.5,785.8,0.3,0.2517,0.1482,energy_burst,0,文本弱
789.1,789.6,0.5,0.212,0.3771,strong_anomaly,7,文本弱
789.7,790.0,0.3,0.1862,0.127,energy_burst,7,文本弱
800.6,801.3,0.7,0.2188,0.3202,strong_anomaly,8,文本弱
804.4,804.8,0.4,0.2541,0.1757,energy_burst,3,文本弱
810.7,811.0,0.3,0.2471,0.1607,energy_burst,4,文本弱
813.5,814.3,0.8,0.3441,0.1288,energy_burst,4,文本弱
816.9,817.4,0.5,0.218,0.1513,energy_burst,7,文本弱
827.0,827.5,0.5,0.2181,0.192,energy_burst,6,文本弱
835.0,835.3,0.3,0.2661,0.1664,energy_burst,4,文本弱
840.5,841.2,0.7,0.3354,0.1407,energy_burst,10,文本中
845.3,845.8,0.5,0.2528,0.172,energy_burst,6,文本弱
850.0,850.3,0.3,0.1245,0.1745,energy_burst,4,文本弱
852.4,852.7,0.3,0.2009,0.1632,energy_burst,3,文本弱
853.8,854.1,0.3,0.3,0.1301,energy_burst,10,文本中
854.4,854.9,0.5,0.1987,0.1864,energy_burst,5,文本弱
856.1,856.4,0.3,0.2488,0.1357,energy_burst,9,文本中
858.3,858.7,0.4,0.2547,0.1251,energy_burst,2,文本弱
864.7,865.2,0.5,0.1894,0.162,energy_burst,5,文本弱
868.2,868.7,0.5,0.305,0.1563,energy_burst,2,文本弱
872.4,872.8,0.4,0.2753,0.1588,energy_burst,4,文本弱
873.7,874.2,0.5,0.276,0.2795,strong_anomaly,8,文本弱
876.5,876.8,0.3,0.1554,0.3752,strong_anomaly,2,文本弱
884.9,885.6,0.7,0.2163,0.1701,energy_burst,15,文本中
898.2,898.6,0.4,0.2676,0.1632,energy_burst,0,文本弱
903.1,903.4,0.3,0.2194,0.1538,energy_burst,2,文本弱
905.3,905.8,0.5,0.2156,0.2039,strong_anomaly,2,文本弱
907.4,907.7,0.3,0.1908,0.237,strong_anomaly,5,文本弱
912.6,913.3,0.7,0.2754,0.1857,energy_burst,9,文本中
927.3,927.7,0.4,0.1599,0.1126,energy_burst,3,文本弱
938.8,939.3,0.5,0.2603,0.1776,energy_burst,6,文本弱
944.4,944.8,0.4,0.2263,0.2702,strong_anomaly,5,文本弱
951.2,951.6,0.4,0.1931,0.1457,energy_burst,3,文本弱
954.4,954.8,0.4,0.1785,0.1357,energy_burst,0,文本弱
966.2,966.6,0.4,0.191,0.2814,strong_anomaly,10,文本中
968.8,969.3,0.5,0.2687,0.2083,strong_anomaly,10,文本中
969.9,970.2,0.3,0.1306,0.2308,high_freq_burst,6,文本弱
977.0,977.5,0.5,0.2143,0.1657,energy_burst,8,文本弱
982.6,982.9,0.3,0.2789,0.1614,energy_burst,2,文本弱
985.7,986.7,1.0,0.2435,0.2433,strong_anomaly,17,文本中
992.9,993.2,0.3,0.1926,0.1545,energy_burst,9,文本中
997.3,997.6,0.3,0.3456,0.1757,energy_burst,8,文本弱
1009.2,1009.7,0.5,0.238,0.1382,energy_burst,4,文本弱
1010.4,1010.8,0.4,0.2053,0.2452,strong_anomaly,3,文本弱
1013.8,1014.5,0.7,0.3144,0.1557,energy_burst,13,文本中
1014.6,1014.9,0.3,0.2058,0.3865,high_freq_burst,6,文本弱
1018.9,1019.3,0.4,0.1784,0.122,energy_burst,9,文本中
1023.6,1024.0,0.4,0.2241,0.3221,strong_anomaly,8,文本弱
1028.3,1028.6,0.3,0.1736,0.1438,energy_burst,4,文本弱
1028.8,1029.3,0.5,0.174,0.1482,energy_burst,4,文本弱
1031.6,1032.1,0.5,0.2983,0.1864,energy_burst,18,文本中
1032.2,1032.7,0.5,0.2336,0.2101,strong_anomaly,13,文本中
1035.7,1036.0,0.3,0.2405,0.2158,strong_anomaly,3,文本弱
1049.4,1050.2,0.8,0.2091,0.2508,strong_anomaly,18,文本中
1054.6,1055.2,0.6,0.2076,0.1407,energy_burst,13,文本中
1062.2,1062.6,0.4,0.2311,0.1964,energy_burst,6,文本弱
1071.5,1071.8,0.3,0.2054,0.2664,strong_anomaly,12,文本中
1072.2,1072.5,0.3,0.212,0.3152,high_freq_burst,12,文本中
1082.5,1082.8,0.3,0.3279,0.1676,energy_burst,6,文本弱
1086.0,1086.3,0.3,0.227,0.157,energy_burst,7,文本弱
1086.4,1086.7,0.3,0.22,0.1889,energy_burst,7,文本弱
1089.0,1089.4,0.4,0.2414,0.2351,strong_anomaly,11,文本中
1089.5,1089.9,0.4,0.2424,0.1288,energy_burst,11,文本中
1096.1,1096.6,0.5,0.2985,0.1939,energy_burst,4,文本弱
1097.1,1097.6,0.5,0.319,0.1238,energy_burst,3,文本弱
1099.8,1100.1,0.3,0.2493,0.1689,energy_burst,8,文本弱
1100.5,1101.1,0.6,0.2595,0.177,energy_burst,12,文本中
1105.9,1106.7,0.8,0.2267,0.1682,energy_burst,6,文本弱
1119.1,1119.5,0.4,0.1871,0.2627,strong_anomaly,7,文本弱
1127.7,1128.1,0.4,0.1643,0.3002,strong_anomaly,14,文本中
1128.5,1128.8,0.3,0.1627,0.132,energy_burst,7,文本弱
1136.3,1136.6,0.3,0.1807,0.2176,strong_anomaly,9,文本中
1139.1,1139.5,0.4,0.2602,0.1682,energy_burst,8,文本弱
1147.9,1148.3,0.4,0.2183,0.2733,strong_anomaly,8,文本弱
1158.2,1158.5,0.3,0.1785,0.1194,energy_burst,6,文本弱
1168.4,1168.7,0.3,0.2834,0.1588,energy_burst,3,文本弱
1169.7,1170.0,0.3,0.2982,0.217,strong_anomaly,2,文本弱
1171.6,1172.1,0.5,0.3277,0.1764,energy_burst,8,文本弱
1182.8,1183.1,0.3,0.3703,0.1463,energy_burst,10,文本中
1186.7,1187.1,0.4,0.3382,0.4109,strong_anomaly,13,文本中
1198.6,1199.1,0.5,0.2826,0.2214,strong_anomaly,10,文本中
1203.1,1204.1,1.0,0.2832,0.242,strong_anomaly,13,文本中
1207.9,1208.5,0.6,0.1927,0.2276,strong_anomaly,8,文本弱
1213.2,1213.6,0.4,0.2085,0.1926,energy_burst,3,文本弱
1214.8,1215.4,0.6,0.2464,0.1976,energy_burst,6,文本弱
1221.0,1221.7,0.7,0.212,0.227,strong_anomaly,10,文本中
1227.5,1228.0,0.5,0.2715,0.3058,strong_anomaly,2,文本弱
1231.9,1232.2,0.3,0.2462,0.2345,strong_anomaly,10,文本中
1232.3,1232.7,0.4,0.261,0.2176,strong_anomaly,7,文本弱
1240.8,1241.1,0.3,0.1401,0.1401,energy_burst,10,文本中
1253.2,1254.3,1.1,0.2875,0.2339,strong_anomaly,11,文本中
1259.5,1259.8,0.3,0.3045,0.2064,strong_anomaly,2,文本弱
1260.3,1260.6,0.3,0.2427,0.232,strong_anomaly,3,文本弱
1260.8,1261.1,0.3,0.3073,0.1732,energy_burst,3,文本弱
1264.8,1265.1,0.3,0.2376,0.1595,energy_burst,15,文本中
1265.4,1265.9,0.5,0.3389,0.1438,energy_burst,8,文本弱
1283.0,1283.4,0.4,0.2708,0.2652,strong_anomaly,0,文本弱
1285.2,1285.8,0.6,0.2816,0.1601,energy_burst,2,文本弱
1286.3,1286.6,0.3,0.1665,0.2458,strong_anomaly,2,文本弱
1287.8,1288.1,0.3,0.2592,0.1445,energy_burst,3,文本弱
1289.6,1289.9,0.3,0.182,0.2414,strong_anomaly,4,文本弱
1292.7,1293.0,0.3,0.2797,0.1588,energy_burst,5,文本弱
1293.4,1293.8,0.4,0.2922,0.2045,strong_anomaly,4,文本弱
1298.3,1298.6,0.3,0.3123,0.1732,energy_burst,2,文本弱
1299.9,1300.2,0.3,0.3303,0.3896,strong_anomaly,14,文本中
1301.1,1301.4,0.3,0.2344,0.2233,high_freq_burst,7,文本弱
1303.1,1303.4,0.3,0.1893,0.1557,energy_burst,7,文本弱
1305.5,1306.3,0.8,0.3011,0.1957,energy_burst,4,文本弱
1313.1,1313.5,0.4,0.4128,0.2483,high_freq_burst,3,文本弱
1317.4,1318.2,0.8,0.2836,0.3133,strong_anomaly,10,文本中
1336.2,1336.5,0.3,0.214,0.2114,strong_anomaly,10,文本中
1336.9,1337.2,0.3,0.1761,0.2145,strong_anomaly,10,文本中
1362.1,1362.4,0.3,0.1705,0.1432,energy_burst,7,文本弱
1364.3,1364.6,0.3,0.1929,0.3527,strong_anomaly,8,文本弱
1369.8,1370.1,0.3,0.1788,0.3765,high_freq_burst,9,文本中
1388.4,1389.2,0.8,0.2642,0.2414,strong_anomaly,7,文本弱
1399.3,1400.0,0.7,0.2087,0.2164,strong_anomaly,12,文本中
1410.1,1410.4,0.3,0.2654,0.2364,strong_anomaly,11,文本中
1414.7,1415.1,0.4,0.255,0.1914,energy_burst,8,文本弱
1419.1,1419.5,0.4,0.1945,0.217,strong_anomaly,9,文本中
1422.4,1423.2,0.8,0.2797,0.3221,strong_anomaly,13,文本中
1425.8,1426.7,0.9,0.2992,0.2301,strong_anomaly,7,文本弱
1428.6,1428.9,0.3,0.3488,0.2308,high_freq_burst,6,文本弱
1437.8,1438.4,0.6,0.3137,0.2333,strong_anomaly,8,文本弱
1438.5,1438.8,0.3,0.2595,0.2639,strong_anomaly,5,文本弱
1441.8,1442.1,0.3,0.26,0.1976,energy_burst,12,文本中
1442.2,1442.7,0.5,0.1965,0.1307,energy_burst,3,文本弱
1449.0,1449.5,0.5,0.2441,0.2589,strong_anomaly,3,文本弱
1455.6,1456.1,0.5,0.3086,0.177,energy_burst,9,文本中
1456.2,1456.5,0.3,0.1888,0.137,energy_burst,4,文本弱
1472.3,1472.7,0.4,0.1622,0.2952,strong_anomaly,7,文本弱
1475.6,1476.4,0.8,0.2839,0.1207,energy_burst,11,文本中
1500.9,1501.2,0.3,0.3189,0.1282,energy_burst,2,文本弱
1503.5,1503.8,0.3,0.3196,0.1926,energy_burst,2,文本弱
1504.5,1504.9,0.4,0.2806,0.1194,energy_burst,3,文本弱
1506.0,1506.4,0.4,0.3411,0.2858,strong_anomaly,5,文本弱
1506.5,1506.8,0.3,0.2319,0.1401,energy_burst,5,文本弱
1512.9,1513.2,0.3,0.1834,0.0994,energy_burst,13,文本中
1513.6,1513.9,0.3,0.1778,0.0882,energy_burst,3,文本弱
1515.3,1515.6,0.3,0.3289,0.1401,energy_burst,3,文本弱
1515.8,1516.3,0.5,0.2342,0.1438,energy_burst,13,文本中
1519.1,1519.4,0.3,0.2472,0.1088,energy_burst,6,文本弱
1527.7,1528.6,0.9,0.2893,0.2164,strong_anomaly,13,文本中
1535.3,1535.7,0.4,0.2728,0.2602,strong_anomaly,4,文本弱
1535.9,1536.4,0.5,0.2586,0.3396,strong_anomaly,4,文本弱
1554.3,1554.6,0.3,0.2182,0.1445,energy_burst,8,文本弱
1568.4,1568.8,0.4,0.1753,0.2558,strong_anomaly,7,文本弱
1574.5,1574.9,0.4,0.1777,0.1889,energy_burst,3,文本弱
1592.6,1592.9,0.3,0.1855,0.157,energy_burst,4,文本弱
1597.9,1598.2,0.3,0.1363,0.1563,energy_burst,7,文本弱
1615.5,1615.8,0.3,0.1906,0.1438,energy_burst,2,文本弱
1615.9,1616.6,0.7,0.294,0.2814,strong_anomaly,8,文本弱
1617.7,1618.1,0.4,0.1434,0.2971,high_freq_burst,14,文本中
1624.9,1625.2,0.3,0.1278,0.2045,strong_anomaly,9,文本中
1632.9,1633.3,0.4,0.3418,0.1326,energy_burst,6,文本弱
1634.8,1635.4,0.6,0.2521,0.2433,strong_anomaly,6,文本弱
1639.0,1639.9,0.9,0.2452,0.2251,strong_anomaly,9,文本中
1643.9,1644.2,0.3,0.238,0.2395,strong_anomaly,7,文本弱
1644.3,1644.8,0.5,0.217,0.1463,energy_burst,7,文本弱
1649.8,1650.9,1.1,0.2644,0.2264,strong_anomaly,9,文本中
1665.8,1666.1,0.3,0.2375,0.1601,energy_burst,3,文本弱
1671.1,1671.5,0.4,0.3361,0.2026,strong_anomaly,12,文本中
1674.8,1675.2,0.4,0.1905,0.2889,strong_anomaly,12,文本中
1698.2,1698.7,0.5,0.1926,0.3571,strong_anomaly,9,文本中
1705.2,1705.7,0.5,0.1966,0.1501,energy_burst,5,文本弱
1707.4,1707.8,0.4,0.2048,0.1532,energy_burst,6,文本弱
1711.8,1712.2,0.4,0.2702,0.2339,strong_anomaly,4,文本弱
1712.3,1712.8,0.5,0.3297,0.2176,strong_anomaly,4,文本弱
1715.5,1715.8,0.3,0.2906,0.1401,energy_burst,2,文本弱
1716.3,1716.8,0.5,0.3206,0.2458,strong_anomaly,2,文本弱
1725.3,1725.7,0.4,0.3555,0.3164,strong_anomaly,9,文本中
1725.8,1726.1,0.3,0.2538,0.359,high_freq_burst,9,文本中
1727.7,1728.0,0.3,0.1932,0.262,high_freq_burst,1,文本弱
1730.6,1731.0,0.4,0.2346,0.1876,energy_burst,8,文本弱
1732.6,1732.9,0.3,0.1895,0.1182,energy_burst,5,文本弱
1743.6,1743.9,0.3,0.2673,0.1739,energy_burst,2,文本弱
1744.1,1744.6,0.5,0.1579,0.3039,strong_anomaly,6,文本弱
1755.1,1755.8,0.7,0.2966,0.3021,strong_anomaly,5,文本弱
1757.8,1758.9,1.1,0.3235,0.2689,strong_anomaly,8,文本弱
1761.4,1762.1,0.7,0.3088,0.152,energy_burst,8,文本弱
1762.3,1762.6,0.3,0.2669,0.2014,strong_anomaly,6,文本弱
1772.3,1772.7,0.4,0.2295,0.1957,energy_burst,2,文本弱
1773.0,1773.5,0.5,0.2731,0.1207,energy_burst,3,文本弱
1779.5,1779.8,0.3,0.2765,0.2151,strong_anomaly,8,文本弱
1780.6,1781.0,0.4,0.1862,0.4046,high_freq_burst,8,文本弱
1786.8,1787.1,0.3,0.2003,0.152,energy_burst,9,文本中
1796.9,1797.4,0.5,0.34,0.2839,strong_anomaly,7,文本弱
1827.1,1827.4,0.3,0.1643,0.1038,energy_burst,6,文本弱
1830.4,1830.8,0.4,0.1715,0.1651,energy_burst,8,文本弱
1835.4,1835.9,0.5,0.2624,0.1557,energy_burst,9,文本中
1837.3,1837.8,0.5,0.2833,0.1914,energy_burst,6,文本弱
1840.8,1841.8,1.0,0.2981,0.2295,strong_anomaly,9,文本中
1861.3,1861.6,0.3,0.2529,0.1126,energy_burst,8,文本弱
1864.9,1865.2,0.3,0.2494,0.1895,energy_burst,11,文本中
1873.2,1873.8,0.6,0.1995,0.1639,energy_burst,7,文本弱
1873.9,1874.3,0.4,0.2797,0.2058,strong_anomaly,10,文本中
1877.2,1877.5,0.3,0.3442,0.2239,strong_anomaly,3,文本弱
1877.9,1878.3,0.4,0.2542,0.2276,strong_anomaly,9,文本中
1883.4,1883.7,0.3,0.1819,0.3796,high_freq_burst,7,文本弱
1898.8,1899.1,0.3,0.2489,0.2308,strong_anomaly,8,文本弱
1899.2,1899.5,0.3,0.2327,0.2402,strong_anomaly,2,文本弱
1899.6,1899.9,0.3,0.2276,0.2527,strong_anomaly,2,文本弱
1912.2,1913.3,1.1,0.376,0.1995,energy_burst,5,文本弱
1913.8,1914.1,0.3,0.2555,0.2964,high_freq_burst,10,文本中
1918.8,1919.4,0.6,0.1894,0.2614,strong_anomaly,16,文本中
1923.2,1924.1,0.9,0.2652,0.1989,energy_burst,9,文本中
1937.5,1937.8,0.3,0.1784,0.1088,energy_burst,5,文本弱
1949.3,1949.6,0.3,0.3099,0.1413,energy_burst,2,文本弱
1950.1,1950.4,0.3,0.2864,0.2264,strong_anomaly,2,文本弱
1954.4,1954.7,0.3,0.2202,0.2164,strong_anomaly,3,文本弱
1957.5,1957.9,0.4,0.296,0.1995,energy_burst,2,文本弱
1958.5,1958.8,0.3,0.2186,0.1407,energy_burst,5,文本弱
1978.5,1978.8,0.3,0.2637,0.1832,energy_burst,2,文本弱
1979.5,1980.0,0.5,0.2154,0.2108,strong_anomaly,7,文本弱
1995.2,1995.8,0.6,0.2137,0.142,energy_burst,8,文本弱
2017.0,2017.9,0.9,0.2351,0.2326,strong_anomaly,3,文本弱
2026.0,2026.5,0.5,0.2218,0.1682,energy_burst,4,文本弱
2037.6,2038.0,0.4,0.3399,0.2276,strong_anomaly,2,文本弱
2041.3,2041.7,0.4,0.22,0.177,energy_burst,4,文本弱
2041.8,2042.2,0.4,0.2769,0.1995,energy_burst,9,文本中
2042.7,2043.0,0.3,0.215,0.2777,high_freq_burst,5,文本弱
2043.1,2043.4,0.3,0.2819,0.2364,high_freq_burst,2,文本弱
2045.5,2046.1,0.6,0.3218,0.2958,strong_anomaly,10,文本中
2048.8,2049.1,0.3,0.3138,0.2939,high_freq_burst,14,文本中
2055.6,2055.9,0.3,0.2679,0.2527,high_freq_burst,1,文本弱
2057.8,2058.1,0.3,0.1801,0.1351,energy_burst,5,文本弱
2058.3,2058.6,0.3,0.214,0.1995,energy_burst,3,文本弱
2060.8,2061.1,0.3,0.1479,0.1495,energy_burst,4,文本弱
2063.1,2063.4,0.3,0.2108,0.2064,strong_anomaly,2,文本弱
2064.4,2064.7,0.3,0.2771,0.2589,strong_anomaly,4,文本弱
2069.7,2070.5,0.8,0.2931,0.2539,strong_anomaly,8,文本弱
2071.3,2071.6,0.3,0.1399,0.2314,high_freq_burst,3,文本弱
2075.1,2075.4,0.3,0.171,0.2195,strong_anomaly,4,文本弱
2076.6,2076.9,0.3,0.2708,0.1507,energy_burst,3,文本弱
2080.6,2081.7,1.1,0.3429,0.2477,strong_anomaly,4,文本弱
2086.0,2086.3,0.3,0.324,0.1695,energy_burst,3,文本弱
2087.9,2088.3,0.4,0.2776,0.192,energy_burst,3,文本弱
2094.3,2094.9,0.6,0.259,0.2639,strong_anomaly,5,文本弱
2095.0,2095.3,0.3,0.2442,0.217,strong_anomaly,5,文本弱
2100.2,2100.6,0.4,0.1647,0.1676,energy_burst,2,文本弱
2100.7,2101.1,0.4,0.2925,0.1789,energy_burst,4,文本弱
2110.8,2111.1,0.3,0.2807,0.1188,energy_burst,10,文本中
2116.0,2116.5,0.5,0.2083,0.1595,energy_burst,10,文本中
2119.4,2119.7,0.3,0.3313,0.2076,strong_anomaly,1,文本弱
2123.1,2124.0,0.9,0.2618,0.157,energy_burst,3,文本弱
2145.5,2146.2,0.7,0.277,0.1626,energy_burst,13,文本中
2152.3,2152.6,0.3,0.1801,0.2083,strong_anomaly,3,文本弱
2158.8,2159.1,0.3,0.2408,0.2745,strong_anomaly,22,文本中
2172.7,2173.5,0.8,0.238,0.1839,energy_burst,8,文本弱
2176.3,2177.0,0.7,0.3184,0.3727,strong_anomaly,10,文本中
2183.1,2183.8,0.7,0.3926,0.2502,strong_anomaly,6,文本弱
2183.9,2184.2,0.3,0.1791,0.3446,strong_anomaly,14,文本中
2187.1,2187.4,0.3,0.229,0.1263,energy_burst,5,文本弱
2188.2,2188.5,0.3,0.2684,0.2026,strong_anomaly,5,文本弱
2191.6,2192.0,0.4,0.2925,0.1563,energy_burst,9,文本中
2204.6,2205.1,0.5,0.2964,0.2639,strong_anomaly,9,文本中
2209.1,2209.4,0.3,0.1398,0.2714,strong_anomaly,4,文本弱
2224.4,2225.1,0.7,0.2213,0.2108,high_freq_burst,12,文本中
2238.4,2239.0,0.6,0.2385,0.329,strong_anomaly,3,文本弱
2239.5,2239.8,0.3,0.2268,0.122,energy_burst,3,文本弱
2240.4,2240.7,0.3,0.2127,0.252,high_freq_burst,6,文本弱
2242.3,2243.2,0.9,0.2299,0.3271,strong_anomaly,8,文本弱
2244.8,2245.5,0.7,0.3233,0.4659,strong_anomaly,12,文本中
2246.7,2247.0,0.3,0.2232,0.2226,high_freq_burst,3,文本弱
2248.0,2248.3,0.3,0.1261,0.277,high_freq_burst,5,文本弱
2248.4,2249.1,0.7,0.2254,0.359,high_freq_burst,10,文本中
2249.5,2249.8,0.3,0.1423,0.2789,high_freq_burst,5,文本弱
2256.1,2256.4,0.3,0.2129,0.2652,strong_anomaly,8,文本弱
2261.5,2261.8,0.3,0.1501,0.1082,energy_burst,10,文本中
2271.4,2271.7,0.3,0.1783,0.2558,strong_anomaly,7,文本弱
2274.9,2275.4,0.5,0.3207,0.2739,high_freq_burst,10,文本中
2280.2,2280.5,0.3,0.3414,0.1438,energy_burst,5,文本弱
2280.7,2281.1,0.4,0.2856,0.1151,energy_burst,14,文本中
2285.0,2285.3,0.3,0.146,0.0882,energy_burst,5,文本弱
2294.2,2294.6,0.4,0.152,0.2745,high_freq_burst,7,文本弱
2297.7,2298.0,0.3,0.3384,0.2645,strong_anomaly,7,文本弱
