以下是1000位互联网人物的谐音、外号、叫错、打错字、识别错误整理。格式为：**序号/主播名字/(谐音 外号 叫错 打错字 识别错误)**。因数量庞大，每条列出2-4个常见变体。

---

1/疯狂小杨哥/(小羊哥 小杨哥 小杨哥儿 疯狂小杨)
2/陈翔六点半/(陈翔六点 陈翔6:30 陈翔六点半组合)
86/小鱼海棠/(小鱼海棠儿 小鱼 海棠)
87/薛佳凝/(薛佳凝儿 薛佳宁 佳凝)
88/狗屁小鲜肉包/(狗屁小鲜肉 小鲜肉包 鲜肉包)
89/四火姐姐/(四火姐 四火 火姐)
90/憨憨金和帅帅银/(憨憨金 帅帅银 憨憨和帅帅)
91/卡唯朵扬姐/(卡唯朵 扬姐 卡唯朵扬)
92/深夜徐老师/(徐老师 深夜徐老师 深夜老师)
93/周小闹/(周小闹儿 周小脑 小闹)
94/氧化菊/(氧化菊儿 氧化局 氧菊)
95/七颗猩猩/(七颗星星 七颗猩猩儿 猩猩)
96/陈圆圆超可爱/(陈圆圆 圆圆超可爱 陈圆圆儿)
97/一枝南南/(一枝南南儿 一枝楠楠 南南)
98/脱缰凯/(脱缰凯儿 脱缰凯Kk 凯凯)
99/小小101/(小小101儿 小小一零一 小小)
100/丁郑美子/(丁郑美子儿 丁正美子 美子)

101/洛哥/(洛哥儿 洛歌 洛哥)
102/李普不离谱/(李普 离谱 李普不离谱儿)
103/晓凡凡/(晓凡凡儿 小凡凡 凡凡)
104/戏精少女-小胡/(小胡 戏精小胡 戏精少女)
105/李龙/(李龙儿 李隆 龙哥)
106/张天琪/(张天琪儿 张天奇 天琪)
107/陈三废姐弟/(陈三废 三废姐弟 陈三废姐弟俩)
108/李蟋蟀/(李蟋蟀儿 李蟋蟀 蟋蟀)
109/秋鱼奈橙菜/(秋鱼 奈橙菜 秋鱼奈橙)
110/任志达/(任志达儿 任志大 志达)
111/徐杰/(徐婕 徐杰儿 徐杰徐婕)
112/易梦玲/(易梦玲儿 易梦琳 梦玲)
113/猴哥说车/(猴哥说车儿 猴哥 说车猴哥)
114/痞幼/(痞幼儿 皮幼 痞友)
115/说车的小宇/(小宇说车 说车小宇 宇哥)
116/董先生/(董先生儿 董先生 董哥)
117/冯雪儿Tiamo/(冯雪儿 雪儿 Tiamo)
118/李龙/(李龙儿 李隆 龙哥)
119/超哥超车/(超哥超车儿 超哥 超车超哥)
120/国岳/(国岳儿 国月 岳哥)
121/张天琪/(张天琪儿 张天奇 天琪)
122/陈三废姐弟/(陈三废 三废姐弟 陈三废姐弟俩)
123/李蟋蟀/(李蟋蟀儿 李蟋蟀 蟋蟀)
124/朱瓜瓜/(朱瓜瓜儿 朱呱呱 瓜瓜)
125/辣辣来撸妆/(辣辣撸妆 辣辣来撸 撸妆辣辣)
126/新疆和田玉老郑/(老郑 和田玉老郑 新疆老郑)
127/秋鱼奈橙菜/(秋鱼 奈橙菜 秋鱼奈橙)
128/木森/(木森儿 木森森 森哥)
129/任志达/(任志达儿 任志大 志达)
130/徐杰/(徐婕 徐杰儿 徐杰徐婕)
131/易梦玲/(易梦玲儿 易梦琳 梦玲)
132/欢姐0220/(欢姐 欢姐0220 欢欢)
133/冬冬和37/(冬冬37 冬冬和三十七 冬冬)
134/小明正能量/(小明 正能量小明 小明同学)
135/王七叶/(王七叶儿 王七夜 七叶)
136/刘小啦/(刘小啦儿 刘小拉 小啦)
137/豆豆_Babe/(豆豆 Babe 豆豆baby)
138/娟子家纺工厂/(娟子家纺 娟子工厂 娟子)
139/小鱼海棠/(小鱼海棠儿 小鱼 海棠)
140/薛佳凝/(薛佳凝儿 薛佳宁 佳凝)
141/狗屁小鲜肉包/(狗屁小鲜肉 小鲜肉包 鲜肉包)
142/四火姐姐/(四火姐 四火 火姐)
143/憨憨金和帅帅银/(憨憨金 帅帅银 憨憨和帅帅)
144/卡唯朵扬姐/(卡唯朵 扬姐 卡唯朵扬)
145/山取/(山取儿 山取 取哥)
146/明婷画画/(明婷 明婷画画 婷婷)
147/何老师在发呆/(何老师 发呆何老师 何老师发呆)
148/朱同尧油画/(朱同尧 同尧油画 朱同尧儿)
149/二饼胡拉/(二饼 胡拉 二饼胡拉儿)
150/冠羽/(冠羽儿 冠宇 羽哥)
151/嫄嫄全能唱将/(嫄嫄 全能唱将 媛媛)
152/浩子1023/(浩子 浩子1023 浩子哥)
153/控/(控儿 控控 控哥)
154/斤宝/(斤宝儿 金宝 斤宝)
155/余泽/(余泽儿 余则 泽哥)
156/小软日记/(小软 小软日记 软软)
157/迅猛龙/(迅猛龙儿 迅猛龙 龙哥)
158/喵小莎/(喵小莎儿 喵小沙 小莎)
159/王不染/(王不染儿 王不冉 不染)
160/何秋事/(何秋事儿 何秋实 秋事)
161/开心元元/(开心元元儿 开心圆圆 元元)
162/T.姜添/(姜添 姜天 T姜添)
163/T.六月/(六月 T六月 六月儿)
164/叫我从凌就好/(从凌 叫我从凌 凌凌)
165/CF老四/(老四 CF老四 四哥)
166/我的世界皓宸/(皓宸 我的世界皓宸 皓辰)
167/安澜/(安澜儿 安兰 澜哥)
168/白泽三角洲/(白泽 白泽三角洲 白泽儿)
169/沙子哥/(沙子哥儿 沙子 沙哥)
170/昊天三角洲/(昊天 昊天三角洲 昊天儿)
171/HangHang/(HangHang 杭杭 航航)
172/AG超玩会梦泪/(梦泪 梦老师 AG梦泪)
173/AG一诺/(一诺 AG一诺 一诺儿)
174/成都AG超玩会Cat/(Cat 猫神 AG猫)
175/eStarProFly/(Fly 飞牛 eStarFly)
176/JDG无畏/(无畏 JDG无畏 无畏儿)
177/LGD.NBW-九尾/(九尾 九尾儿 LGD九尾)
178/深圳DYG钎城/(钎城 钎城儿 DYG钎城)
179/eStarPro花海/(花海 花海儿 eStar花海)
180/ZmjjKK/(KK ZmjjKK 康康)
181/猪猪七分饱/(猪猪 七分饱 猪猪七分)
182/吴半饱/(吴半饱儿 吴半包 半饱)
183/北京胖姐姐/(胖姐姐 北京胖姐 胖姐)
184/夏叔有好货/(夏叔 夏叔有好货 夏叔好货)
185/娟砸的废话bot/(娟砸 废话bot 娟砸废话)
186/富牛牛/(富牛牛儿 富牛 牛牛)
187/村驴/(村驴儿 村吕 驴哥)
188/段小段/(段小段儿 段段 小段)
189/日食记/(日食记儿 日食记 日食)
190/葱哥美食记/(葱哥 葱哥美食 美食葱哥)
191/乡村二妮/(二妮 乡村二妮 二妮儿)
192/康仔农人/(康仔 康仔农人 康仔儿)
193/乡野虎子/(虎子 乡野虎子 虎子儿)
194/珍珍爱种菜/(珍珍 种菜珍珍 珍珍种菜)
195/陕南媛媛/(媛媛 陕南媛媛 陕南媛)
196/刘畊宏/(刘畊宏儿 刘耕宏 刘教练)
197/仲昭金Adam/(仲昭金 昭金 Adam)
198/black柯达鸭/(柯达鸭 柯达 鸭鸭)
199/辛有志/(辛巴 辛有志 辛巴哥)
200/二驴/(二驴儿 二吕 驴哥)

201/白小白/(白小白儿 小白 白哥)
202/张二嫂/(张二嫂儿 二嫂 张嫂)
203/王小贱/(王小贱儿 王小建 小贱)
204/柳贯一/(柳贯一儿 柳冠一 贯一)
205/杜文龙/(杜文龙儿 杜文隆 杜老师)
206/月亮哥/(月亮哥儿 月亮 月哥)
207/华老黑/(华老黑儿 华老黑 老黑)
208/散打哥/(散打哥儿 散打 打哥)
209/老方丈/(方丈 老方丈 方丈哥)
210/天津李四/(李四 天津李四 四哥)
211/刘二狗/(刘二狗儿 刘二 二狗)
212/邢三狗/(邢三狗儿 邢三 三狗)
213/吃瓜本呱/(吃瓜 本呱 呱呱)
214/锦州小伙巴扎黑/(巴扎黑 扎黑 锦州巴扎黑)
215/小伊伊/(小伊伊儿 小依依 伊伊)
216/安万/(安万儿 安万 万哥)
217/鬼步舞小哈哈/(小哈哈 鬼步舞 哈哈)
218/心雨鸵鸟养殖/(心雨 鸵鸟心雨 心雨养殖)
219/红娘小妞妞/(小妞妞 红娘 妞妞)
220/西北刀客/(刀客 西北刀客 刀客哥)
221/杨大眼/(杨大眼儿 大眼 杨大眼)
222/开拖拉机的木兰姐姐/(木兰姐姐 木兰 拖拉机木兰)
223/新民朱旭/(朱旭 新民朱旭 旭哥)
224/懂懂和婷婷/(懂懂 婷婷 懂懂婷婷)
225/白头大叔/(白头大叔 白头 大叔)
226/乡村姐妹花/(姐妹花 乡村姐妹 姐妹)
227/小爽香玉回村记/(小爽 香玉 回村记)
228/龚杨杰/(龚杨杰儿 龚洋杰 杨杰)
229/顾安言/(顾安言儿 顾安颜 安言)
230/卡戎/(卡戎儿 卡荣 戎哥)
231/唐嘉琦/(唐嘉琦儿 唐佳琦 嘉琦)
232/小透明/(小透明儿 透明 小透明)
233/李梦圆/(李梦圆儿 李梦媛 梦圆)
234/小宇宙/(小宇宙儿 宇宙 小宇)
235/蘇蘇er/(蘇蘇 苏苏 苏苏er)
236/加辣夹心/(加辣 夹心 加辣夹心)
237/她如烟/(如烟 她如烟 烟烟)
238/轩姐/(轩姐儿 轩轩 轩姐)
239/椿屋小奈/(小奈 椿屋 椿屋小奈)
240/琦少/(琦少儿 奇少 琦少)
241/李小刚/(李小刚儿 李小钢 小刚)
242/王斩/(王斩儿 王展 斩哥)
243/普照四方/(普照 四方 普照四方)
244/林家豪/(林家豪儿 林佳豪 家豪)
245/珂珂/(珂珂儿 可可 珂珂)
246/小雨逆流而上/(小雨 逆流而上 小雨逆流)
247/LinkiTam的生活记/(LinkiTam 生活记 Linki)
248/厦门阿波/(阿波 厦门阿波 波哥)
249/沧海一粒/(沧海一粒 沧海 一粒)
250/吕小厨美食/(吕小厨 小厨 吕小厨美食)
251/黄钢明/(黄钢明儿 黄刚明 钢明)
252/谢孟伟/(谢孟伟儿 嘎子 谢孟伟嘎子)
253/王茂林王丽霞/(王茂林 王丽霞 茂林丽霞)
254/固秦郭霞/(固秦 郭霞 固秦郭霞)
255/唐薇/(唐薇儿 唐微 薇薇)
256/二伟/(二伟儿 二伟 伟哥)
257/亚男才艺主播/(亚男 才艺亚男 亚男主播)
258/唐山泡泡龙/(泡泡龙 唐山泡泡龙 泡泡)
259/陕北说书秦毛毛/(秦毛毛 陕北说书 毛毛)
260/陕北说书张小飞/(张小飞 陕北说书 小飞)
261/范晓荣/(范晓荣儿 范小荣 晓荣)
262/单色中国舞昊天老师/(昊天老师 单色昊天 昊天)
263/房赛霜/(房赛霜儿 房赛双 赛霜)
264/莲•舞蹈•美学/(莲 舞蹈美学 莲舞蹈)
265/溪尚舞蹈/(溪尚 溪尚舞蹈 溪尚舞)
266/单色中国舞鹿子老师/(鹿子老师 单色鹿子 鹿子)
267/隋姐广场舞/(隋姐 广场舞 隋姐广场)
268/小麦肤色/(小麦 肤色 小麦肤色)
269/徐小米/(徐小米儿 徐小咪 小米)
270/超级丹/(超级丹儿 超级丹 丹哥)
271/石家庄蕊姐/(蕊姐 石家庄蕊姐 蕊蕊)
272/Syali大鸭梨/(大鸭梨 鸭梨 Syali)
273/CC家精品潮鞋/(CC家 潮鞋 CC)
274/森琦贝尓/(森琦贝尔 森琦 贝尔)
275/CC大彤彤/(大彤彤 CC彤彤 彤彤)
276/5566叶莎陈家妞/(叶莎 陈家妞 5566)
277/李大瑞/(李大瑞儿 李瑞 大瑞)
278/茉莉妈妈/(茉莉妈妈 茉莉 妈妈)
279/付天/(付天儿 付天 天哥)
280/B哥（车水马龙）/(B哥 车水马龙 B哥车水)
281/大卓说事/(大卓 说事 卓哥)
282/古云柳坊/(古云 柳坊 古云柳)
283/丁盾盾/(丁盾盾儿 丁顿顿 盾盾)
284/游戏小妞哥/(小妞哥 游戏小妞 妞哥)
285/牛老弟/(牛老弟儿 牛老第 牛弟)
286/阿洋游戏王/(阿洋 游戏王 洋哥)
287/大冰/(大冰儿 大兵 冰哥)
288/梓墨/(梓墨儿 子墨 墨墨)
289/赵小娜/(赵小娜儿 赵晓娜 小娜)
290/杨丽很忙/(杨丽 很忙 杨丽忙)
291/农家妹丁丁/(丁丁 农家妹 农家丁丁)
292/紫鹊界邹波/(邹波 紫鹊界 波哥)
293/林林与小胖/(林林 小胖 林林小胖)
294/奉小梅/(奉小梅儿 奉晓梅 小梅)
295/村花老赵婆子/(老赵婆子 村花 赵婆子)
296/温精灵/(温精灵儿 温晶晶 精灵)
297/道上都叫我赤木刚宪/(赤木刚宪 赤木 刚宪)
298/张凯毅/(张凯毅儿 张凯义 凯毅)
299/呗呗兔/(呗呗兔 贝贝兔 兔兔)
300/崔佳楠/(崔佳楠儿 崔佳南 佳楠)

301/隔壁的王同学/(王同学 隔壁王同学 王同)
302/黑马小明/(小明 黑马 黑马小明)
303/可爱的小来/(小来 可爱小来 来来)
304/三金/(三金儿 三斤 金金)
305/小春日/(小春日 春日 小春)
306/蒲言延/(蒲言延儿 蒲言岩 言延)
307/曾鹿儿/(曾鹿儿 曾露儿 鹿儿)
308/野生小美/(小美 野生小美 美美)
309/阿里北杯/(北杯 阿里北杯 杯杯)
310/小狮子/(小狮子 狮子 小狮)
311/楚淇/(楚淇儿 楚琪 淇淇)
312/郑燕姿/(郑燕姿儿 郑艳姿 燕姿)
313/宵夜/(宵夜儿 消夜 夜宵)
314/余庆伟/(余庆伟儿 余庆韦 庆伟)
315/杨苏苏/(杨苏苏儿 杨苏 苏苏)
316/徐杉/(徐杉儿 徐山 杉杉)
317/初九/(初九儿 初久 九九)
318/一颗小虎牙/(小虎牙 虎牙 一颗小虎牙)
319/小霸王/(小霸王 霸王 小霸)
320/林允/(林允儿 林云 允儿)
321/欧阳娜娜/(欧阳娜娜儿 欧阳娜娜 娜娜)
322/虞书欣/(虞书欣儿 虞书心 书欣)
323/白鹿/(白鹿儿 白露 鹿鹿)
324/赵露思/(赵露思儿 赵路思 露思)
325/范冰冰/(范冰冰儿 范冰 冰冰)
326/白敬亭/(白敬亭儿 白敬停 敬亭)
327/关晓彤/(关晓彤儿 关小彤 晓彤)
328/戚薇/(戚薇儿 齐薇 薇薇)
329/程十安/(程十安儿 程十安 十安)
330/老爸评测/(老爸评测 老爸 评测)
331/蟹爪爪/(蟹爪爪儿 蟹爪 爪爪)
332/Sabrina柒/(Sabrina 柒柒 Sabrina柒)
333/papi酱/(papi 酱酱 papi酱)
334/深夜徐老师/(徐老师 深夜徐老师 深夜老师)
335/氧化菊/(氧化菊儿 氧化局 氧菊)
336/易梦玲/(易梦玲儿 易梦琳 梦玲)
337/方圆/(方圆儿 方园 圆圆)
338/冯雪儿Tiamo/(冯雪儿 雪儿 Tiamo)
339/王七叶/(王七叶儿 王七夜 七叶)
340/陈圆圆超可爱/(陈圆圆 圆圆超可爱 陈圆圆儿)
341/一枝南南/(一枝南南儿 一枝楠楠 南南)
342/小鱼海棠/(小鱼海棠儿 小鱼 海棠)
343/小小101/(小小101儿 小小一零一 小小)
344/丁郑美子/(丁郑美子儿 丁正美子 美子)
345/戏精少女-小胡/(小胡 戏精小胡 戏精少女)
346/脱缰凯Kk/(脱缰凯 脱缰 凯凯)
347/小地球AA/(小地球 地球 AA)
348/火炽焦糖三文鱼/(三文鱼 焦糖三文鱼 火炽)
349/油菜菜-/(油菜菜 油菜 菜菜)
350/陈凡尘/(陈凡尘儿 陈凡晨 凡尘)

351/尼采的胡子Nie/(尼采 胡子 尼采胡子)
352/瞩望云霄/(云霄 瞩望 瞩望云霄)
353/于大仙的农村生活/(于大仙 大仙 农村生活)
354/销冠李老板/(李老板 销冠 销冠李)
355/解说米勒/(米勒 解说米勒 米勒解说)
356/争取最后的自由/(最后的自由 自由 争取自由)
357/仙子醉/(仙子醉儿 仙子 醉醉)
358/斩漫漫/(斩漫漫儿 斩漫 漫漫)
359/杰克小兔/(杰克 小兔 杰克兔)
360/蓝飘飘fly/(蓝飘飘 飘飘 fly)
361/晴姐有美有物理/(晴姐 物理晴姐 有美有物理)
362/我是超人cr/(超人 我是超人 cr)
363/芳斯塔芙/(芳斯塔芙儿 芳斯 塔芙)
364/LKs/(LKs LK LKs)
365/HOLA小测佬/(小测佬 HOLA 测佬)
366/HOPICO/(HOPICO HOPI 皮扣)
367/画渣三查/(三查 画渣 画渣三查)
368/浑元Rysn/(浑元 浑元Rysn Rysn)
369/老实憨厚的笑笑/(笑笑 老实笑笑 憨厚笑笑)
370/阿萨Aza/(阿萨 Aza 阿萨Aza)
371/JoeCreator/(Joe Creator JoeCreator)
372/Chubbyemu/(Chubby emu Chubbyemu)
373/楚河/(楚河儿 楚河 河哥)
374/卡尔/(卡尔儿 卡儿 卡尔)
375/UZI/(UZI 乌兹 小狗)
376/孤影/(孤影儿 孤影 影哥)
377/心态/(心态儿 心态 态哥)
378/剑仙/(剑仙儿 剑仙 仙哥)
379/婷小姐/(婷小姐儿 婷婷 婷姐)
380/疯狗/(疯狗儿 疯狗 狗哥)
381/晴天/(晴天儿 晴天 天哥)
382/九日/(九日儿 九日 日哥)
383/幻影/(幻影儿 幻影 影哥)
384/小仔爷/(小仔爷儿 小仔 仔爷)
385/小雪/(小雪儿 小雪 雪雪)
386/宝子/(宝子儿 宝子 宝宝)
387/小古子/(小古子儿 小古 古子)
388/童锦程/(童锦程儿 童景程 锦程)
389/小小酷/(小小酷儿 小酷 酷酷)
390/子圣/(子圣儿 子胜 圣哥)
391/会长/(会长儿 会长 会哥)
392/钱小佳/(钱小佳儿 钱佳 小佳)
393/洋气黄/(洋气黄儿 洋气 黄哥)
394/虎子/(虎子儿 虎子 虎哥)
395/晨小柏/(晨小柏儿 晨小百 小柏)
396/黄老师/(黄老师儿 黄老师 黄老)
397/局长/(局长儿 局长 局哥)
398/雨泽/(雨泽儿 雨则 泽哥)
399/微山湖户外/(微山湖 户外 微山湖户外)
400/血色小伊伊Eva/(小伊伊 伊伊 Eva)

401/溪宝宝77/(溪宝宝 溪宝 宝宝)
402/MH-橘霞/(橘霞 橘霞儿 MH橘霞)
403/婷er/(婷er 婷婷 婷儿)
404/巫曼/(巫曼儿 巫曼 曼曼)
405/抱抱er/(抱抱er 抱抱 抱儿)
406/软软冰OvO/(软软冰 软软 冰冰)
407/Dae柔柔/(柔柔 Dae柔柔 柔柔儿)
408/不求人/(不求人儿 不求人 求哥)
409/骚俊/(骚俊儿 骚俊 俊哥)
410/小虎牙/(小虎牙儿 小虎 虎牙)
411/五五开/(五五开儿 卢本伟 五五)
412/阿冷/(阿冷儿 阿冷 冷冷)
413/七哥张琪格/(张琪格 七哥 琪格)
414/B总001/(B总 B总001 B哥)
415/yyf/(yyf 胖头鱼 鱼鱼)
416/蛇哥/(蛇哥儿 蛇哥 蛇蛇)
417/小缘/(小缘儿 小缘 缘缘)
418/纳豆nado/(纳豆 纳豆nado nado)
419/冯提莫/(冯提莫儿 冯提摩 提莫)
420/陈一发/(陈一发儿 陈一发 发姐)

1/菅纫姿/(叫错“管韧姿”、被调侃“拼音女星”、误读“guǎn”)
2/啜妮/(叫错“搓泥儿”“踹你”、被问“这演员姓啥”)
3/宋轶/(叫错“宋铁”“宋秩”“宋轨”“宋轩”)
4/张钧甯/(叫错“张钧mì”、被读作“mì”、生僻字“𡩋”导致输入法打不出)
5/鞠婧祎/(名字中的“祎”常被读错、被调侃“始于颜值，止于名字”)
6/佘诗曼/(叫错“余诗曼”)
7/阚清子/(叫错“敢清子”)
8/何翯/(叫错“呵呵”“高”“羽”)
9/逯恣祯/(名字常被跳过、直接被喊“那个穿绿衣服的”)
10/斓曦/(原名张凡改名后名字复杂被吐槽)
11/李春嫒/(叫错“李春媛”)
12/李莎旻子/(叫错“李莎敏子”“李莎文子”)
13/何炅/(叫错“何灵”)
14/张艺兴/(打错“孙艺兴”、被喊“孙艺兴”)
15/易烊千玺/(打错“易洋千玺”)
16/白百何/(打错“白百合”)
17/马伊琍/(名字常被写错)
18/郑恺/(名字常被打错)
19/翟天临/(名字常被打错、被“改姓”)
20/潘玮柏/(打错“潘伟柏”“潘韦柏”)
21/赵丽颖/(叫错“靓颖”)
22/迪丽热巴/(叫错“娜扎”)
23/罗志祥/(叫错“吴克群”)
24/黄渤/(被认成王宝强、签名签了王宝强的名字)
25/靳东/(叫错“勒东”)
26/张若昀/(叫错“张若jun”)
27/陈冠希/(被何炅叫错名字)
28/倪妮/(被何炅叫成“闫妮”)
29/应采儿/(叫错“容祖儿”)
30/张学友/(被粉丝喊“刘德华”)
31/李冰冰/(被蔡康永叫成“白冰冰”)
32/陈坤/(被喊“杨坤”)
33/赵今麦/(谐音外号“今麦郎”)
34/檀健次/(谐音外号“刚子哥”)
35/陈伟霆/(角色名谐音外号“好命哥”)
36/吴添豪/(谐音外号“五条”)
37/张凌赫/(谐音外号“0帝”)
38/陈添祥/(外号“陈十七”)
39/曾辉/(外号“宝总”)
40/姚冠宇/(外号“取悦哥”)
41/赵振栋/(外号“赵公子”“红温哥”“没牙老太太”)
42/林正英/(外号“九叔”)
43/古天乐/(外号“古校长”)
44/张国荣/(外号“哥哥”)
45/周杰伦/(外号“周董”)
46/周星驰/(外号“星爷”)
47/周润发/(外号“发哥”)
48/刘德华/(外号“华仔”)
49/吴孟达/(外号“达叔”)
50/孙俪/(外号“娘娘”)
51/成奎安/(外号“大傻”)
52/张铁林/(外号“皇阿玛”)
53/刘若英/(外号“奶茶”)
54/邓超/(外号“混世魔王”“大黑牛”)
55/黄晓明/(外号“教主”)
56/陈坤/(外号“厂花”)
57/钟汉良/(外号“小哇”)
58/朱一龙/(外号“居老师”)
59/吴彦祖/(英文名谐音外号“蛋妞”)
60/靳东/(外号“鞋东”)
61/杨紫/(本名“杨旎奥”难记)
62/陶大宇/(将郭可盈角色英文名Jessie读成“车匙”)
63/江𤒹生/(颁奖礼上被叫成“江毕生”)
64/克里斯·伊文思/(外号“桃总”“美队”“猕猴桃”)
65/本尼迪克·康伯巴奇/(外号“卷福”“缺爷”“潮爷”)
66/汤姆·希德勒斯顿/(外号“抖森”、因英文发音错误导致译名偏差)
67/莱昂纳多·迪卡普里奥/(外号“小李子”、被叫“李奥纳多皮卡丘”)
68/瑞恩·高斯林/(外号“高司令”)
69/凯蒂·佩里/(外号“水果姐”)
70/泰勒·斯威夫特/(外号“霉霉”)
71/汤姆·赫兰德/(外号“荷兰弟”)
72/蒂莫西·柴勒梅德/(外号“甜茶”)
73/詹妮弗·劳伦斯/(外号“大表姐”)
74/丹·史蒂文斯/(外号“大表哥”)
75/迈克尔·B·乔丹/(外号“面包机”、姓名首字母MBJ输入法弹出)
76/黛西·雷德利/(外号“菊总”)
77/丹尼尔·戴-刘易斯/(外号“刘皇叔”)
